epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,4352.77,1.10972,0.75132,1.1478,0.87276,0.76081,0.82561,0.48581,1.3766,0.8814,1.32173,0.000462259,0.000462259,0.000462259
75,4411.45,1.12726,0.7366,1.16727,0.85354,0.76366,0.81037,0.47429,1.39153,0.87879,1.32925,0.000445756,0.000445756,0.000445756
76,4470.94,1.11808,0.73291,1.13763,0.87864,0.77453,0.81905,0.48846,1.34575,0.87756,1.30211,0.000429253,0.000429253,0.000429253
77,4530.83,1.11462,0.72337,1.1644,0.88714,0.7724,0.82512,0.49365,1.33766,0.88516,1.29657,0.000412749,0.000412749,0.000412749
78,4590.6,1.09408,0.779,1.17302,0.89334,0.75916,0.83024,0.48548,1.34009,0.88117,1.28916,0.000396246,0.000396246,0.000396246
79,4651.22,1.06811,0.70301,1.13625,0.88284,0.76157,0.81581,0.49704,1.31127,0.86065,1.27926,0.000379743,0.000379743,0.000379743
80,4719.85,1.08544,0.7041,1.13945,0.88324,0.77886,0.82029,0.49623,1.3272,0.86473,1.27857,0.000363239,0.000363239,0.000363239
81,4787.33,1.07489,0.70272,1.1256,0.89526,0.74736,0.81276,0.50244,1.33816,0.86345,1.283,0.000346736,0.000346736,0.000346736
82,4850.95,1.05569,0.70823,1.1252,0.86016,0.76334,0.80604,0.48775,1.37085,0.89777,1.29948,0.000330233,0.000330233,0.000330233
83,4910.18,1.0725,0.70552,1.12262,0.85919,0.77914,0.82166,0.4936,1.32937,0.88439,1.27479,0.000313729,0.000313729,0.000313729
84,4971.46,1.07692,0.71917,1.1439,0.86047,0.77996,0.82456,0.49226,1.32917,0.85029,1.28412,0.000297226,0.000297226,0.000297226
85,5034.36,1.1012,0.71312,1.1413,0.8362,0.81801,0.83705,0.49373,1.31312,0.85304,1.27393,0.000280723,0.000280723,0.000280723
86,5093.31,1.03049,0.65821,1.10784,0.85727,0.74929,0.80631,0.47021,1.36825,0.86692,1.31895,0.00026422,0.00026422,0.00026422
